player_id,player_name,age,nationality,height_cm,weight_kg,club_name,position,matches_played,minutes_played,goals,assists,shots_on_target,pass_accuracy,dribbles_completed,dribble_success_rate,tackles,interceptions,sprint_speed,stamina_score,overall_rating,past_injury_count,training_load_score,average_distance_covered_km,recovery_time_hours,muscle_strength_score,injury_risk_score,injury_risk_level,team_strength_rating,opponent_strength_rating,possession_pct,goals_scored_team,goals_conceded_team,match_result
1,Lionel Messi,24,France,191,64,Inter Miami,Forward,28,1925,1,3,4,81.02741332161149,0,78.67722697917013,0,0,32.08395410628101,38.939627366399954,50,2,36.94903160749082,13.762052158081426,49,32.01687240888265,84.73374465982506,High,51.416607694402124,49.877795283923916,32.530547653425955,0,2,Loss
2,Cristiano Ronaldo,32,Paraguay,184,81,Al-Nassr,Forward,47,3217,5,0,5,88.94818989638917,3,76.33346767698482,0,0,30.466116480637318,54.13265459710594,50,1,79.23500863054215,8.389086943592183,73,53.848457731137174,42.90618462201288,Medium,50.70289641508317,80.25871986801883,71.63240502712392,2,0,Win
3,Kylian Mbappé,28,Japan,187,92,Paris Saint-Germain,Forward,4,293,3,0,0,94.76725744583366,0,71.10453606989414,0,0,28.429091561144567,68.63707993998347,50,1,28.046089892431034,11.005836644841862,14,32.49716312272606,88.47308938299184,High,52.14030047663285,49.28884773493539,44.15294032105018,0,0,Draw
4,Erling Haaland,25,England,197,87,Manchester City,Forward,57,3897,3,0,9,83.23873108050827,2,49.190501458057604,2,0,31.179594766648083,50.28101721625429,50,4,42.20887811182236,13.518307587420548,27,62.766519300131996,100.0,High,49.94695748150188,44.24831449447332,61.47607109882192,2,3,Loss
5,Neymar,24,Japan,186,62,Al-Hilal,Forward,34,2333,8,1,6,78.56131329739405,4,72.67387519783873,0,0,32.46174748554594,80.84668690394156,50,2,62.18789532348867,11.645121313141239,23,56.07640237404921,79.39218056401315,High,48.23625069754456,61.81230131785787,26.017054094108882,1,5,Loss
6,Robert Lewandowski,36,Australia,192,77,Barcelona,Forward,54,3693,1,0,8,92.44789809887848,2,51.78254074284436,0,0,33.72188718688378,94.7264039244242,50,2,63.48577253307672,10.971614468039736,25,76.84347668567924,75.49226035759672,High,49.673866072112475,72.91537197530309,35.25935714524035,3,2,Win
7,Vinicius Jr,28,Canada,177,97,Real Madrid,Forward,9,633,13,2,2,77.86517045892172,1,60.973045855660416,0,0,29.292997366989184,60.31072179402604,50,2,60.72415178339731,12.457960321713323,45,92.0122417649382,70.45234954607116,High,48.510194710387104,61.88584124667707,49.354127216178895,2,0,Win
8,Kevin De Bruyne,28,Japan,179,80,Manchester City,Midfielder,18,1245,0,2,0,93.26701158473499,2,66.08903913001933,2,0,30.27540350374271,45.12010045651637,50,2,93.56626215309059,10.120251749702794,61,63.779774544337236,65.025520355793,High,48.64964345005124,53.83770659756543,68.91262338661733,1,1,Draw
9,Luka Modrić,21,Ecuador,186,84,Real Madrid,Midfielder,36,2469,0,0,0,68.34746939399724,2,50.90985297751844,6,1,30.99686357472862,47.52529610488242,50,3,20.921419673817287,9.162286641952814,42,48.550972533981394,90.39758912610536,High,49.71096265856897,67.90855919452204,51.362757497533856,2,2,Draw
10,Jude Bellingham,25,Poland,185,96,Real Madrid,Midfielder,6,429,0,2,0,83.1162173547857,5,74.39931886519582,0,6,28.773385395776454,90.17466070089472,50,1,56.56988825594557,13.083694755137818,50,86.69141652240712,41.989390216741896,Medium,48.41516015800008,57.35011677061,71.49352411469395,1,0,Win
